member,group_id,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
69925182,3815832,11,37,3,1.584962500721156,1.584962500721156,1.584962500721156,10.818181818181818,58.18181818181818,6.090909090909091,1.2494551651532535,2.122100757969115,1.7257914720599408
11125249,3815832,5,6,3,1.584962500721156,1.584962500721156,1.584962500721156,11.6,110.0,7.0,1.400004702584845,2.6679700005769247,1.815363119410166
70109762,3815832,10,9,2,1.0,1.0,1.0,11.6,65.5,6.4,1.2828969317406944,2.192807083838143,1.7568668693380503
192265738,3815832,10,3,12,1.5,3.418295834054489,2.0,11.6,66.1,5.4,1.2328969317406944,1.9509775004326932,1.6568668693380506
192586922,3815832,11,3,1,0.0,0.0,0.0,10.727272727272727,60.18181818181818,7.181818181818182,1.2571790288551767,2.4304932509490027,1.7789698812164096
34932782,3815832,15,275,4,1.584962500721156,2.0,1.584962500721156,8.6,27.466666666666665,7.0,1.3147811151903819,2.3270233841254226,1.7512738941014396
190426224,3815832,5,1,6,1.0,2.584962500721156,1.0,11.6,111.0,6.4,1.5169972027290763,2.467970000576925,1.9323556195543972
10808659,3815832,4,13,4,1.5,2.0,2.0,12.5,99.0,5.75,1.944235677759417,2.292481250360578,2.084962500721156
13818655,3815832,11,56,12,3.0220552088742,3.584962500721156,3.584962500721156,10.818181818181818,56.45454545454545,5.2727272727272725,1.1188103735029766,1.9402825761509335,1.5439732902417589
43230452,3815832,3,1,14,0.0,3.8073549220576055,1.0,13.0,96.0,5.666666666666667,1.0147034725828004,1.861654166907052,1.3899750004807707
117814102,3815832,13,28,4,1.584962500721156,2.0,1.584962500721156,9.76923076923077,50.46153846153846,5.769230769230769,1.2560745628774572,2.08446121844798,1.6591283610292697
106287002,3815832,10,6,1,0.0,0.0,0.0,11.6,65.8,6.5,1.3828969317406945,2.2928070838381425,1.8568668693380506
14445852,3815832,13,10,12,1.4591479170272448,3.584962500721156,2.584962500721156,9.692307692307692,50.92307692307692,5.923076923076923,1.1503679923923735,2.101568327781553,1.5052822071831158
192081757,3815832,10,1,6,0.7219280948873623,2.584962500721156,2.321928094887362,11.6,66.3,6.0,1.3107041222519582,2.034310833766027,1.6246740598493141
28704862,3815832,1,2,16,3.3927474104487847,4.0,3.7004397181410926,15.0,275.0,4.0,1.584962500721156,2.0,1.584962500721156
10183071,3815832,12,236,9,1.3709505944546687,3.169925001442312,2.321928094887362,10.333333333333334,36.25,5.5,1.2535817686394526,1.9940059031984518,1.5693085916011915
